      t(s)           distancia            ln(d/d0)           lambda(t)
  0.010000            0.100354            0.003530            0.353021
  0.020000            0.101451            0.014409            0.720459
  0.030000            0.103270            0.032173            1.072420
  0.040000            0.105779            0.056184            1.404600
  0.050000            0.108939            0.085618            1.712352
  0.060000            0.112706            0.119611            1.993516
  0.070000            0.117039            0.157335            2.247646
  0.080000            0.121895            0.197988            2.474848
  0.090000            0.127232            0.240845            2.676055
  0.100000            0.133015            0.285295            2.852954
  0.110000            0.139213            0.330837            3.007613
  0.120000            0.145795            0.377033            3.141944
  0.130000            0.152740            0.423570            3.258231
  0.140000            0.160025            0.470162            3.358298
  0.150000            0.167635            0.516617            3.444115
  0.160000            0.175553            0.562771            3.517320
  0.170000            0.183769            0.608507            3.579451
  0.180000            0.192274            0.653751            3.631947
  0.190000            0.201059            0.698428            3.675937
  0.200000            0.210120            0.742510            3.712550
  0.210000            0.219453            0.785968            3.742705
  0.220000            0.229054            0.828789            3.767225
  0.230000            0.238923            0.870971            3.786832
  0.240000            0.249061            0.912528            3.802200
  0.250000            0.259468            0.953463            3.813852
  0.260000            0.270150            0.993806            3.822331
  0.270000            0.281111            1.033580            3.828074
  0.280000            0.292361            1.072818            3.831493
  0.290000            0.303909            1.111559            3.832961
  0.300000            0.315770            1.149845            3.832817
  0.310000            0.327962            1.187728            3.831382
  0.320000            0.340506            1.225263            3.828946
  0.330000            0.353421            1.262490            3.825728
  0.340000            0.366732            1.299462            3.821947
  0.350000            0.380444            1.336168            3.817624
  0.360000            0.394539            1.372547            3.812631
  0.370000            0.408940            1.408398            3.806481
  0.380000            0.423493            1.443368            3.798336
  0.390000            0.437993            1.477033            3.787265
  0.400000            0.452234            1.509031            3.772577
  0.410000            0.466067            1.539159            3.754046
  0.420000            0.479395            1.567355            3.731799
  0.430000            0.492170            1.593654            3.706172
  0.440000            0.504371            1.618143            3.677597
  0.450000            0.515990            1.640918            3.646485
  0.460000            0.527029            1.662085            3.613227
  0.470000            0.537487            1.681734            3.578158
  0.480000            0.547366            1.699948            3.541557
  0.490000            0.556671            1.716805            3.503683
  0.500000            0.565402            1.732367            3.464734
  0.510000            0.573560            1.746693            3.424888
  0.520000            0.581146            1.759831            3.384290
  0.530000            0.588162            1.771832            3.343079
  0.540000            0.594611            1.782737            3.301364
  0.550000            0.600493            1.792580            3.259237
  0.560000            0.605812            1.801400            3.216786
  0.570000            0.610573            1.809228            3.174084
  0.580000            0.614779            1.816092            3.131193
  0.590000            0.618435            1.822023            3.088174
  0.600000            0.621548            1.827043            3.045072
  0.610000            0.624126            1.831182            3.001937
  0.620000            0.626174            1.834459            2.958805
  0.630000            0.627703            1.836897            2.915710
  0.640000            0.628723            1.838520            2.872688
  0.650000            0.629242            1.839345            2.829762
  0.660000            0.629272            1.839394            2.786960
  0.670000            0.628825            1.838683            2.744303
  0.680000            0.627913            1.837231            2.701810
  0.690000            0.626546            1.835052            2.659495
  0.700000            0.624739            1.832164            2.617377
  0.710000            0.622503            1.828578            2.575462
  0.720000            0.619853            1.824312            2.533767
  0.730000            0.616801            1.819377            2.492297
  0.740000            0.613359            1.813780            2.451054
  0.750000            0.609540            1.807534            2.410045
  0.760000            0.605355            1.800646            2.369271
  0.770000            0.600817            1.793120            2.328727
  0.780000            0.595936            1.784963            2.288414
  0.790000            0.590723            1.776176            2.248325
  0.800000            0.585186            1.766759            2.208448
  0.810000            0.579334            1.756708            2.168776
  0.820000            0.573177            1.746024            2.129298
  0.830000            0.566721            1.734696            2.089996
  0.840000            0.559970            1.722713            2.050849
  0.850000            0.552931            1.710062            2.011838
  0.860000            0.545606            1.696727            1.972939
  0.870000            0.538001            1.682690            1.934126
  0.880000            0.530113            1.667920            1.895364
  0.890000            0.521944            1.652391            1.856619
  0.900000            0.513494            1.636069            1.817854
  0.910000            0.504760            1.618913            1.779025
  0.920000            0.495740            1.600881            1.740088
  0.930000            0.486427            1.581917            1.700986
  0.940000            0.476817            1.561963            1.661663
  0.950000            0.466903            1.540952            1.622055
  0.960000            0.456675            1.518801            1.582084
  0.970000            0.446126            1.495432            1.541682
  0.980000            0.435244            1.470736            1.500751
  0.990000            0.424017            1.444603            1.459195
  1.000000            0.412431            1.416900            1.416900
  1.010000            0.400475            1.387480            1.373743
  1.020000            0.388130            1.356171            1.329580
  1.030000            0.375383            1.322777            1.284249
  1.040000            0.362216            1.287071            1.237569
  1.050000            0.348614            1.248795            1.189329
  1.060000            0.334560            1.207647            1.139289
  1.070000            0.320040            1.163277            1.087175
  1.080000            0.305038            1.115268            1.032655
  1.090000            0.289533            1.063100            0.975321
  1.100000            0.273495            1.006114            0.914649
  1.110000            0.256878            0.943429            0.849936
  1.120000            0.239653            0.874023            0.780378
  1.130000            0.221904            0.797073            0.705375
  1.140000            0.203890            0.712412            0.624923
  1.150000            0.186020            0.620686            0.539727
  1.160000            0.168734            0.523151            0.450992
  1.170000            0.152454            0.421695            0.360423
  1.180000            0.137621            0.319336            0.270624
  1.190000            0.124737            0.221036            0.185744
  1.200000            0.114390            0.134440            0.112033
  1.210000            0.107220            0.069715            0.057616
  1.220000            0.103779            0.037091            0.030403
  1.230000            0.104314            0.042237            0.034339
  1.240000            0.108654            0.082997            0.066933
  1.250000            0.116263            0.150684            0.120548
  1.260000            0.126446            0.234643            0.186224
  1.270000            0.138535            0.325955            0.256658
  1.280000            0.151983            0.418599            0.327031
  1.290000            0.166368            0.509034            0.394600
  1.300000            0.181381            0.595430            0.458023
  1.310000            0.196795            0.676994            0.516789
  1.320000            0.212441            0.753495            0.570830
  1.330000            0.228195            0.825029            0.620323
  1.340000            0.243961            0.891839            0.665552
  1.350000            0.259662            0.954212            0.706824
  1.360000            0.275241            1.012476            0.744468
  1.370000            0.290648            1.066941            0.778789
  1.380000            0.305842            1.117899            0.810072
  1.390000            0.320789            1.165614            0.838571
  1.400000            0.335457            1.210325            0.864518
  1.410000            0.349825            1.252264            0.888130
  1.420000            0.363865            1.291612            0.909586
  1.430000            0.377558            1.328553            0.929058
  1.440000            0.390886            1.363246            0.946698
  1.450000            0.403830            1.395823            0.962637
  1.460000            0.416375            1.426417            0.976998
  1.470000            0.428507            1.455138            0.989890
  1.480000            0.440214            1.482090            1.001412
  1.490000            0.451482            1.507365            1.011654
  1.500000            0.462298            1.531040            1.020693
  1.510000            0.472655            1.553196            1.028607
  1.520000            0.482542            1.573897            1.035459
  1.530000            0.491947            1.593202            1.041308
  1.540000            0.500867            1.611170            1.046214
  1.550000            0.509289            1.627845            1.050223
  1.560000            0.517207            1.643272            1.053380
  1.570000            0.524616            1.657496            1.055730
  1.580000            0.531506            1.670545            1.057307
  1.590000            0.537873            1.682452            1.058146
  1.600000            0.543709            1.693244            1.058277
  1.610000            0.549010            1.702947            1.057731
  1.620000            0.553769            1.711577            1.056529
  1.630000            0.557978            1.719149            1.054693
  1.640000            0.561633            1.725678            1.052243
  1.650000            0.564727            1.731172            1.049195
  1.660000            0.567250            1.735631            1.045561
  1.670000            0.569197            1.739057            1.041351
  1.680000            0.570558            1.741444            1.036574
  1.690000            0.571324            1.742787            1.031235
  1.700000            0.571482            1.743063            1.025331
  1.710000            0.571022            1.742258            1.018864
  1.720000            0.569926            1.740337            1.011824
  1.730000            0.568182            1.737272            1.004204
  1.740000            0.565767            1.733012            0.995984
  1.750000            0.562661            1.727508            0.987147
  1.760000            0.558839            1.720692            0.977666
  1.770000            0.554270            1.712481            0.967504
  1.780000            0.548920            1.702783            0.956620
  1.790000            0.542752            1.691483            0.944962
  1.800000            0.535721            1.678442            0.932468
  1.810000            0.527777            1.663503            0.919062
  1.820000            0.518860            1.646464            0.904650
  1.830000            0.508910            1.627101            0.889126
