      t(s)    theta1(rad)    theta2(rad)             P1             P2
  0.000000       1.147198      -0.423599       0.000000       0.000000
  0.010000       1.146304      -0.423196      -0.178677       0.040282
  0.020000       1.144519      -0.422389      -0.356924       0.080448
  0.030000       1.141843      -0.421174      -0.534670       0.120461
  0.040000       1.138278      -0.419544      -0.711844       0.160286
  0.050000       1.133823      -0.417487      -0.888371       0.199885
  0.060000       1.128477      -0.414991      -1.064177       0.239221
  0.070000       1.122241      -0.412038      -1.239186       0.278254
  0.080000       1.115112      -0.408608      -1.413318       0.316944
  0.090000       1.107087      -0.404678      -1.586492       0.355249
  0.100000       1.098162      -0.400220      -1.758621       0.393123
  0.110000       1.088333      -0.395204      -1.929617       0.430520
  0.120000       1.077591      -0.389594      -2.099385       0.467389
  0.130000       1.065929      -0.383351      -2.267827       0.503675
  0.140000       1.053336      -0.376431      -2.434838       0.539323
  0.150000       1.039797      -0.368785      -2.600308       0.574270
  0.160000       1.025296      -0.360359      -2.764119       0.608448
  0.170000       1.009812      -0.351090      -2.926144       0.641787
  0.180000       0.993320      -0.340912      -3.086252       0.674208
  0.190000       0.975791      -0.329748      -3.244296       0.705625
  0.200000       0.957186      -0.317511      -3.400124       0.735947
  0.210000       0.937462      -0.304105      -3.553569       0.765071
  0.220000       0.916566      -0.289420      -3.704449       0.792886
  0.230000       0.894433      -0.273331      -3.852569       0.819269
  0.240000       0.870986      -0.255694      -3.997716       0.844085
  0.250000       0.846131      -0.236343      -4.139653       0.867182
  0.260000       0.819753      -0.215084      -4.278123       0.888394
  0.270000       0.791716      -0.191691      -4.412839       0.907534
  0.280000       0.761851      -0.165896      -4.543479       0.924390
  0.290000       0.729953      -0.137382      -4.669683       0.938724
  0.300000       0.695774      -0.105770      -4.791043       0.950268
  0.310000       0.659010      -0.070610      -4.907093       0.958713
  0.320000       0.619298      -0.031370      -5.017297       0.963710
  0.330000       0.576217       0.012557      -5.121033       0.964856
  0.340000       0.529304       0.061830      -5.217583       0.961696
  0.350000       0.478122       0.117057      -5.306114       0.953717
  0.360000       0.422420       0.178572      -5.385684       0.940364
  0.370000       0.362426       0.246002      -5.455267       0.921076
  0.380000       0.299247       0.317707      -5.513847       0.895369
  0.390000       0.235035       0.390538      -5.560600       0.862964
  0.400000       0.172445       0.460611      -5.595123       0.823931
  0.410000       0.113559       0.524856      -5.617564       0.778722
  0.420000       0.059277       0.581892      -5.628539       0.728058
  0.430000       0.009548       0.631710      -5.628893       0.672740
  0.440000      -0.036121       0.674957      -5.619507       0.613523
  0.450000      -0.078329       0.712447      -5.601190       0.551060
  0.460000      -0.117631       0.744947      -5.574651       0.485896
  0.470000      -0.154493       0.773110      -5.540499       0.418487
  0.480000      -0.189296       0.797475      -5.499257       0.349210
  0.490000      -0.222344       0.818481      -5.451378       0.278384
  0.500000      -0.253881       0.836486      -5.397254       0.206276
  0.510000      -0.284103       0.851785      -5.337232       0.133119
  0.520000      -0.313165       0.864620      -5.271619       0.059112
  0.530000      -0.341194       0.875199      -5.200694      -0.015570
  0.540000      -0.368292       0.883695      -5.124709      -0.090770
  0.550000      -0.394540       0.890259      -5.043895      -0.166351
  0.560000      -0.420004       0.895021      -4.958468      -0.242188
  0.570000      -0.444736       0.898096      -4.868629      -0.318165
  0.580000      -0.468777       0.899588      -4.774569      -0.394179
  0.590000      -0.492160       0.899587      -4.676468      -0.470131
  0.600000      -0.514907       0.898179      -4.574499      -0.545932
  0.610000      -0.537036       0.895440      -4.468829      -0.621495
  0.620000      -0.558558       0.891440      -4.359620      -0.696739
  0.630000      -0.579480       0.886245      -4.247027      -0.771588
  0.640000      -0.599804       0.879917      -4.131206      -0.845965
  0.650000      -0.619529       0.872513      -4.012305      -0.919801
  0.660000      -0.638650       0.864087      -3.890473      -0.993024
  0.670000      -0.657160       0.854690      -3.765854      -1.065567
  0.680000      -0.675049       0.844370      -3.638592      -1.137364
  0.690000      -0.692305       0.833173      -3.508827      -1.208349
  0.700000      -0.708916       0.821141      -3.376700      -1.278459
  0.710000      -0.724867       0.808314      -3.242348      -1.347631
  0.720000      -0.740141       0.794731      -3.105908      -1.415802
  0.730000      -0.754722       0.780425      -2.967516      -1.482910
  0.740000      -0.768591       0.765431      -2.827304      -1.548896
  0.750000      -0.781730       0.749777      -2.685405      -1.613697
  0.760000      -0.794120       0.733491      -2.541951      -1.677254
  0.770000      -0.805741       0.716598      -2.397070      -1.739507
  0.780000      -0.816572       0.699118      -2.250893      -1.800397
  0.790000      -0.826593       0.681071      -2.103546      -1.859863
  0.800000      -0.835782       0.662473      -1.955156      -1.917847
  0.810000      -0.844118       0.643334      -1.805848      -1.974288
  0.820000      -0.851578       0.623664      -1.655749      -2.029126
  0.830000      -0.858139       0.603467      -1.504983      -2.082301
  0.840000      -0.863778       0.582744      -1.353674      -2.133752
  0.850000      -0.868471       0.561491      -1.201947      -2.183415
  0.860000      -0.872191       0.539701      -1.049928      -2.231229
  0.870000      -0.874912       0.517361      -0.897744      -2.277126
  0.880000      -0.876606       0.494451      -0.745521      -2.321042
  0.890000      -0.877241       0.470948      -0.593389      -2.362905
  0.900000      -0.876785       0.446821      -0.441483      -2.402645
  0.910000      -0.875202       0.422032      -0.289937      -2.440186
  0.920000      -0.872452       0.396534      -0.138894      -2.475448
  0.930000      -0.868492       0.370274       0.011502      -2.508347
  0.940000      -0.863271       0.343184       0.161097      -2.538793
  0.950000      -0.856735       0.315188       0.309729      -2.566691
  0.960000      -0.848818       0.286194       0.457229      -2.591938
  0.970000      -0.839448       0.256094       0.603412      -2.614419
  0.980000      -0.828540       0.224763       0.748083      -2.634014
  0.990000      -0.815993       0.192050       0.891028      -2.650588
  1.000000      -0.801691       0.157780       1.032014      -2.663992
  1.010000      -0.785496       0.121744       1.170782      -2.674063
  1.020000      -0.767243       0.083695       1.307047      -2.680616
  1.030000      -0.746739       0.043343       1.440487      -2.683447
  1.040000      -0.723754       0.000343       1.570739      -2.682327
  1.050000      -0.698020      -0.045704       1.697389      -2.676996
  1.060000      -0.669232      -0.095252       1.819964      -2.667164
  1.070000      -0.637063      -0.148792       1.937919      -2.652509
  1.080000      -0.601199      -0.206792       2.050631      -2.632676
  1.090000      -0.561426      -0.269584       2.157394      -2.607290
  1.100000      -0.517794      -0.337131       2.257428      -2.575975
  1.110000      -0.470839      -0.408705       2.349926      -2.538406
  1.120000      -0.421791      -0.482603       2.434139      -2.494382
  1.130000      -0.372484      -0.556257       2.509512      -2.443913
  1.140000      -0.324846      -0.626966       2.575824      -2.387280
  1.150000      -0.280264      -0.692779       2.633228      -2.325010
  1.160000      -0.239337      -0.752851       2.682177      -2.257769
  1.170000      -0.202057      -0.807185       2.723276      -2.186249
  1.180000      -0.168109      -0.856215       2.757164      -2.111087
  1.190000      -0.137078      -0.900514       2.784444      -2.032838
  1.200000      -0.108554      -0.940641       2.805658      -1.951975
  1.210000      -0.082176      -0.977091       2.821282      -1.868894
  1.220000      -0.057636      -1.010283       2.831728      -1.783926
  1.230000      -0.034675      -1.040563       2.837354      -1.697354
  1.240000      -0.013080      -1.068217       2.838475      -1.609416
  1.250000       0.007326      -1.093483       2.835361      -1.520316
  1.260000       0.026692      -1.116556       2.828255      -1.430228
  1.270000       0.045141      -1.137598       2.817367      -1.339305
  1.280000       0.062779      -1.156749       2.802888      -1.247679
  1.290000       0.079693      -1.174124       2.784986      -1.155465
  1.300000       0.095958      -1.189821       2.763812      -1.062763
  1.310000       0.111639      -1.203927       2.739506      -0.969664
  1.320000       0.126789      -1.216514       2.712191      -0.876246
  1.330000       0.141454      -1.227648       2.681982      -0.782580
  1.340000       0.155674      -1.237384       2.648986      -0.688728
  1.350000       0.169483      -1.245773       2.613299      -0.594748
  1.360000       0.182907      -1.252859       2.575012      -0.500689
  1.370000       0.195970      -1.258684       2.534212      -0.406599
  1.380000       0.208691      -1.263283       2.490979      -0.312521
  1.390000       0.221086      -1.266691       2.445390      -0.218493
  1.400000       0.233167      -1.268938       2.397518      -0.124553
  1.410000       0.244942      -1.270054       2.347436      -0.030735
  1.420000       0.256419      -1.270064       2.295211       0.062928
  1.430000       0.267600      -1.268996       2.240911       0.156404
  1.440000       0.278486      -1.266871       2.184604       0.249662
  1.450000       0.289078      -1.263714       2.126354       0.342671
  1.460000       0.299371      -1.259545       2.066228       0.435401
  1.470000       0.309362      -1.254386       2.004291       0.527822
  1.480000       0.319044      -1.248255       1.940610       0.619901
  1.490000       0.328408      -1.241172       1.875252       0.711608
  1.500000       0.337444      -1.233154       1.808284       0.802909
  1.510000       0.346142      -1.224218       1.739777       0.893770
  1.520000       0.354489      -1.214380       1.669800       0.984155
  1.530000       0.362471      -1.203655       1.598426       1.074028
  1.540000       0.370072      -1.192057       1.525731       1.163349
  1.550000       0.377277      -1.179599       1.451790       1.252077
  1.560000       0.384068      -1.166291       1.376681       1.340169
  1.570000       0.390426      -1.152145       1.300488       1.427580
  1.580000       0.396331      -1.137170       1.223293       1.514261
  1.590000       0.401762      -1.121370       1.145183       1.600163
  1.600000       0.406698      -1.104753       1.066248       1.685231
  1.610000       0.411114      -1.087321       0.986583       1.769409
  1.620000       0.414986      -1.069075       0.906282       1.852638
  1.630000       0.418287      -1.050012       0.825447       1.934855
  1.640000       0.420991      -1.030129       0.744181       2.015993
