t,x,y,vx,vy,jacobi
0.00000000,1.50000000,0.00000000,0.02000000,-1.86800000,0.09616138
0.00209440,1.50003600,-0.00391242,0.01437683,-1.86808073,0.09613938
0.00418879,1.50006022,-0.00782499,0.00875346,-1.86814358,0.09611738
0.00628319,1.50007267,-0.01173767,0.00312996,-1.86818856,0.09609537
0.00837758,1.50007333,-0.01565042,-0.00249364,-1.86821566,0.09607337
0.01047198,1.50006222,-0.01956322,-0.00811725,-1.86822489,0.09605137
0.01256637,1.50003933,-0.02347601,-0.01374084,-1.86821625,0.09602936
0.01466077,1.50000466,-0.02738877,-0.01936435,-1.86818973,0.09600736
0.01675516,1.49995822,-0.03130146,-0.02498772,-1.86814535,0.09598535
0.01884956,1.49989999,-0.03521403,-0.03061088,-1.86808309,0.09596335
0.02094395,1.49982999,-0.03912645,-0.03623380,-1.86800296,0.09594134
0.02303835,1.49974822,-0.04303869,-0.04185640,-1.86790496,0.09591934
0.02513274,1.49965467,-0.04695070,-0.04747864,-1.86778910,0.09589733
0.02722714,1.49954934,-0.05086245,-0.05310046,-1.86765537,0.09587533
0.02932153,1.49943224,-0.05477391,-0.05872180,-1.86750378,0.09585332
0.03141593,1.49930337,-0.05868502,-0.06434261,-1.86733433,0.09583132
0.03351032,1.49916272,-0.06259576,-0.06996283,-1.86714702,0.09580931
0.03560472,1.49901031,-0.06650610,-0.07558240,-1.86694185,0.09578730
0.03769911,1.49884613,-0.07041598,-0.08120127,-1.86671883,0.09576530
0.03979351,1.49867017,-0.07432538,-0.08681938,-1.86647796,0.09574329
0.04188790,1.49848246,-0.07823425,-0.09243668,-1.86621924,0.09572129
0.04398230,1.49828298,-0.08214257,-0.09805311,-1.86594268,0.09569928
0.04607669,1.49807173,-0.08605028,-0.10366861,-1.86564828,0.09567727
0.04817109,1.49784873,-0.08995736,-0.10928313,-1.86533604,0.09565527
0.05026548,1.49761397,-0.09386377,-0.11489662,-1.86500597,0.09563326
0.05235988,1.49736745,-0.09776947,-0.12050901,-1.86465807,0.09561125
